,video_id,subject_id,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,subject_understood
287,0,0,4226.410156,4153.333496,4300.128418,4247.307617,4215.384766,4161.410156,4136.538574,4173.717773,4152.692383,4151.282227,4601.282227,4382.563965,4396.153809,4509.871582,0
288,0,0,4211.282227,4154.487305,4283.846191,4256.153809,4216.153809,4155.769043,4148.077148,4168.461426,4152.94873,4129.871582,4576.025879,4370.0,4389.871582,4495.512695,0
289,0,0,4204.102539,4163.846191,4271.410156,4247.307617,4210.897461,4149.487305,4135.256348,4146.410156,4130.641113,4113.077148,4542.563965,4349.871582,4378.077148,4473.846191,0
290,0,0,4215.256348,4172.692383,4276.025879,4256.666504,4209.358887,4156.025879,4151.153809,4175.0,4168.589844,4148.846191,4591.410156,4385.128418,4451.282227,4498.333496,0
291,0,0,4231.153809,4187.307617,4296.025879,4268.974121,4231.025879,4177.179688,4171.025879,4174.102539,4159.358887,4149.358887,4597.436035,4387.05127,4419.102539,4504.871582,0
292,0,0,4220.769043,4182.692383,4281.153809,4246.153809,4225.256348,4157.94873,4149.871582,4157.179688,4138.333496,4142.692383,4576.538574,4379.358887,4407.820313,4494.743652,0
293,0,0,4217.179688,4183.333496,4283.333496,4248.333496,4223.461426,4175.0,4162.692383,4163.205078,4146.666504,4141.794922,4571.282227,4379.102539,4397.94873,4495.512695,0
294,0,0,4237.05127,4189.230957,4301.794922,4264.230957,4229.487305,4178.461426,4180.769043,4185.641113,4165.769043,4162.820313,4598.589844,4400.0,4421.282227,4516.153809,0
295,0,0,4195.128418,4187.307617,4262.820313,4232.94873,4214.743652,4153.974121,4135.128418,4135.384766,4131.025879,4117.05127,4544.743652,4346.794922,4375.384766,4470.384766,0
296,0,0,4189.230957,4166.282227,4262.436035,4215.897461,4213.461426,4154.743652,4135.128418,4162.307617,4154.871582,4133.333496,4552.05127,4367.820313,4381.282227,4474.871582,0
297,0,0,4222.820313,4191.282227,4288.077148,4248.846191,4225.897461,4153.717773,4149.871582,4166.153809,4150.0,4136.282227,4580.512695,4388.717773,4398.461426,4499.871582,0
298,0,0,4212.307617,4187.563965,4278.461426,4242.94873,4222.94873,4161.538574,4132.692383,4154.615234,4144.358887,4138.974121,4573.333496,4362.307617,4387.05127,4485.512695,0
299,0,0,4200.512695,4185.384766,4268.589844,4239.230957,4212.692383,4151.538574,4132.820313,4141.666504,4133.461426,4129.615234,4572.307617,4359.743652,4377.563965,4478.333496,0
300,0,0,4212.563965,4202.436035,4286.410156,4248.717773,4218.717773,4162.94873,4139.871582,4162.179688,4149.487305,4148.974121,4589.871582,4374.358887,4402.436035,4499.102539,0
301,0,0,4206.666504,4202.05127,4282.307617,4241.282227,4207.692383,4154.230957,4133.205078,4150.897461,4150.641113,4139.871582,4568.717773,4368.846191,4388.846191,4486.922852,0
302,0,0,4222.307617,4204.743652,4289.743652,4251.538574,4209.615234,4147.179688,4134.102539,4153.333496,4149.487305,4146.025879,4582.692383,4366.794922,4404.358887,4496.282227,0
303,0,0,4213.846191,4213.717773,4291.282227,4258.974121,4227.05127,4172.05127,4140.512695,4156.794922,4142.692383,4156.282227,4589.102539,4366.538574,4411.922852,4498.846191,0
304,0,0,4211.025879,4202.436035,4281.025879,4255.897461,4227.05127,4178.205078,4147.820313,4146.538574,4133.333496,4132.692383,4566.153809,4358.333496,4387.307617,4489.615234,0
305,0,0,4205.897461,4192.05127,4275.641113,4238.205078,4228.205078,4154.743652,4140.897461,4149.615234,4143.333496,4140.256348,4556.922852,4362.820313,4391.153809,4484.615234,0
306,0,0,4220.512695,4207.179688,4289.743652,4255.641113,4232.94873,4154.487305,4148.077148,4151.666504,4138.717773,4138.461426,4577.563965,4377.307617,4399.358887,4502.05127,0
307,0,0,4231.666504,4205.897461,4292.820313,4253.974121,4221.538574,4142.692383,4135.641113,4159.615234,4148.461426,4146.538574,4598.077148,4387.692383,4408.205078,4513.717773,0
308,0,0,4184.102539,4199.743652,4279.230957,4252.05127,4223.205078,4149.743652,4135.769043,4149.102539,4138.461426,4130.0,4562.05127,4357.94873,4377.692383,4481.025879,0
309,0,0,4182.94873,4188.846191,4271.794922,4241.922852,4218.077148,4147.820313,4132.94873,4146.153809,4135.512695,4131.794922,4559.358887,4355.769043,4387.94873,4480.0,0
310,0,0,4203.974121,4212.94873,4300.128418,4259.230957,4226.922852,4165.128418,4151.410156,4169.615234,4156.794922,4153.846191,4583.846191,4386.538574,4413.333496,4511.282227,0
311,0,0,4192.436035,4198.077148,4279.102539,4252.94873,4220.512695,4154.358887,4142.05127,4152.436035,4134.871582,4142.692383,4568.333496,4367.179688,4398.589844,4489.102539,0
312,0,0,4195.384766,4200.256348,4280.512695,4252.820313,4227.692383,4163.077148,4136.666504,4151.666504,4135.641113,4138.077148,4569.487305,4370.0,4400.384766,4487.94873,0
313,0,0,4193.846191,4197.692383,4270.897461,4244.871582,4225.769043,4152.179688,4133.589844,4143.077148,4140.256348,4152.05127,4572.563965,4358.461426,4409.743652,4482.820313,0
314,0,0,4186.666504,4182.820313,4270.769043,4229.871582,4215.128418,4149.871582,4145.512695,4157.692383,4144.615234,4134.230957,4560.128418,4360.384766,4396.922852,4483.846191,0
315,0,0,4236.794922,4232.563965,4307.436035,4281.794922,4230.256348,4153.589844,4157.820313,4155.256348,4132.563965,4144.743652,4581.153809,4385.0,4422.820313,4512.563965,0
316,0,0,4220.512695,4208.846191,4296.538574,4258.717773,4238.461426,4156.282227,4151.153809,4172.820313,4169.743652,4158.205078,4586.666504,4379.743652,4409.230957,4497.436035,0
317,0,0,4212.307617,4190.256348,4288.974121,4247.179688,4220.512695,4148.461426,4129.358887,4157.179688,4156.794922,4155.128418,4573.589844,4378.717773,4402.94873,4490.0,0
318,0,0,4208.205078,4203.077148,4287.820313,4250.641113,4233.205078,4164.871582,4136.153809,4165.641113,4157.692383,4157.179688,4571.922852,4376.410156,4399.615234,4490.512695,0
319,0,0,4229.871582,4200.897461,4300.641113,4259.358887,4226.922852,4153.974121,4136.410156,4155.769043,4155.384766,4161.922852,4592.94873,4386.410156,4431.410156,4501.666504,0
320,0,0,4204.615234,4182.307617,4280.256348,4251.153809,4230.384766,4167.563965,4141.794922,4171.794922,4163.846191,4148.717773,4570.641113,4370.769043,4409.230957,4485.128418,0
321,0,0,4207.436035,4186.922852,4282.307617,4253.461426,4235.384766,4171.153809,4140.0,4156.153809,4143.205078,4127.94873,4556.922852,4368.589844,4379.743652,4477.307617,0
322,0,0,4203.205078,4186.794922,4280.512695,4255.0,4240.256348,4164.487305,4140.256348,4157.820313,4136.666504,4111.410156,4542.179688,4353.205078,4360.128418,4469.871582,0
323,0,0,4205.641113,4166.410156,4273.974121,4241.922852,4225.769043,4165.897461,4137.307617,4155.128418,4137.563965,4123.205078,4538.333496,4353.205078,4363.333496,4461.666504,0
324,0,0,4217.179688,4180.0,4289.358887,4262.05127,4229.487305,4177.436035,4153.077148,4173.461426,4158.974121,4155.769043,4563.461426,4374.487305,4407.307617,4493.205078,0
325,0,0,4248.717773,4204.487305,4317.563965,4287.563965,4238.205078,4175.0,4158.333496,4179.743652,4149.615234,4159.487305,4594.487305,4406.153809,4412.820313,4513.333496,0
326,0,0,4241.794922,4185.897461,4306.153809,4289.358887,4244.743652,4172.563965,4175.384766,4187.94873,4163.846191,4170.512695,4600.769043,4405.0,4407.179688,4502.05127,0
327,0,0,4226.282227,4181.922852,4287.94873,4260.641113,4227.692383,4151.794922,4146.410156,4165.769043,4137.692383,4135.256348,4565.897461,4375.0,4380.256348,4474.102539,0
328,0,0,4236.153809,4194.487305,4296.538574,4272.436035,4237.05127,4154.743652,4145.256348,4162.94873,4144.615234,4145.0,4576.025879,4384.871582,4409.871582,4485.384766,0
329,0,0,4227.563965,4189.871582,4290.897461,4266.922852,4234.487305,4150.512695,4136.025879,4166.922852,4145.128418,4150.769043,4586.410156,4386.922852,4430.256348,4488.974121,0
330,0,0,4237.820313,4179.615234,4304.230957,4263.717773,4230.128418,4152.94873,4148.717773,4165.0,4142.563965,4134.102539,4576.282227,4388.205078,4401.538574,4492.563965,0
